Μάθημα	Κωδικός	Εξάμηνο	Περίοδος	ECTS	ΔΜ	Ώρες	Κατεύθυνση	Τύπος μαθήματος	Κατηγορία	Ομάδα	Γονέας	Ενέργειες
ΣΥΣΤΗΜΑΤΑ ΜΙΚΡΟΥΠΟΛΟΓΙΣΤΩΝ	3046	Έκτο	Εαρινή	6	0	4	-	Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης	Ελεύθερα, Υποχρ. Ομάδας	Υ, ΥΜ	-	
ΜΙΚΡΟΚΥΜΑΤΑ	3057	Έκτο	Εαρινή	6	0	5	-	Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης, Υποχρεωτικό κατ’ επιλογήν	Ελεύθερα, Υποχρ. Ομάδας	Τ, ΤΜ	-	
ΓΛΩΣΣΕΣ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΥ Ι	3061	Έκτο	Εαρινή	6	0	4	-	Ελεύθερης επιλογής, Επιλογής κατεύθυνσης, Υποχρεωτικό κατεύθυνσης, Υποχρεωτικό κατ’ επιλογήν	Ελεύθερα, Επιλογή, Υποχρ. Ομάδας	Λ, ΛΜ	-	
ΘΕΩΡΙΑ ΔΙΚΤΥΩΝ ΚΑΙ ΚΥΚΛΩΜΑΤΩΝ	3068	Έκτο	Εαρινή	5	0	4	-	Επιλογής	Κατ' Επιλογή Υποχρεωτικό	-	-	
ΗΛΕΚΤΡΙΚΗ ΟΙΚΟΝΟΜΙΑ	3074	Έκτο	Εαρινή	6	0	4	-	Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης	Ελεύθερα, Υποχρ. Ομάδας	Ε, ΕΜ	-	
ΤΕΧΝΟΛΟΓΙΑ ΦΩΤΙΣΜΟΥ	3103	Έκτο	Εαρινή	4	0	4	-	Ελεύθερης επιλογής, Επιλογής κατεύθυνσης	Ελεύθερα, Επιλογή	Ζ, ΖΜ	-	
ΦΥΣΙΚΗ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑ ΤΩΝ ΛΕΪΖΕΡ	3121	Έκτο	Εαρινή	4	0	4	-	Ελεύθερης επιλογής	Ελεύθερα	-	-	
ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ	3123	Έκτο	Εαρινή	6	0	4	-	Ελεύθερης επιλογής, Επιλογής κατεύθυνσης, Υποχρεωτικό κατεύθυνσης, Υποχρεωτικό κατ’ επιλογήν	Ελεύθερα, Επιλογή, Υποχρ. Ομάδας	Λ, ΛΜ	-	
ΗΛΕΚΤΡΟΝΙΚΗ ΙΣΧΥΟΣ Ι	3127	Έκτο	Εαρινή	6	0	5	-	Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης	Ελεύθερα, Υποχρ. Ομάδας	Ζ, ΖΜ	-	
ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ ΥΠΟΛΟΓΙΣΤΩΝ	3136	Έκτο	Εαρινή	6	0	4	-	Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης	Ελεύθερα, Υποχρ. Ομάδας	Υ, ΥΜ	-	
